,states,x,y
0,Andhra Pradesh(S),-95.0,-144.0
1,Arunachal Pradesh(S),228.0,157.0
2,Assam(S),160.0,111.0
3,Bihar(S),50.0,93.0
4,Chhattisgarh(S),-20.0,-12.0
5,Goa(S),-173.0,-138.0
6,Gujarat(S),-237.0,27.0
7,Haryana(S),-133.0,168.0
8,Himachal Pradesh(S),-111.0,228.0
9,Jharkhand(S),44.0,50.0
10,Karnataka(S),-153.0,-181.0
11,Kerala(S),-128.0,-245.0
12,Maharashtra(S),-185.0,-66.0
13,Madhya Pradesh(S),-132.0,27.0
14,Manipur(S),231.0,79.0
15,Meghalaya(S),159.0,93.0
16,Mizoram(S),211.0,44.0
17,Nagaland(S),238.0,112.0
18,Odisha(S),27.0,-31.0
19,Punjab(S),-173.0,209.0
20,Rajasthan(S),-225.0,115.0
21,Sikkim(S),113.0,140.0
22,Tamil Nadu(S),-93.0,-262.0
23,Tripura(S),161.0,59.0
24,Telangana(S),-89.0,-94.0
25,Uttar Pradesh(S),-75.0,128.0
26,Uttarakhand(S),-75.0,192.0
27,West Bengal(S),99.0,22.0
28,Andaman and Nicobar(UT),176.0,-260.0
29,Chandigarh(UT),-125.0,208.0
30,Dadra and Nagar Haveli and Daman and Diu(UT),-193.0,-30.0
31,Delhi(NCT),-105.0,153.0
32,Jammu and Kashmir(UT),-210.0,255.0
33,Ladakh(UT),-85.0,269.0
34,Lakshadweep(UT),-228.0,-316.0
35,Puducherry(UT,-57.0,-214.0
